sha256	bytes	path
cf70c2dced3d418d4beb1308459fb24650ac47d9f2af33b66fb03334cf4c2f5c	3053	include/xattrs.h
3f43fa91aed86bc5313ea79dc48471e5e53c6b167494dc62730bc80c25c5e1b3	1898	libntfs/Makefile.am
d68289f870428d276a6569337923a922933809965f5b984dabdf844b78025b6c	3225	libntfs/acls.c
10a54e4f7e1c9a03f93072c615e7f7880ec0200dd3737e85d7cf643bbc89e7e6	224200	libntfs/attrib.c
b968a257b5846134b544792a989fb80c165b5e7dec262a0f08f15288aac488c7	9024	libntfs/attrlist.c
12a9e678f7d1035dada63bb7a043cd817649658ed60d387737f068ca8ac5df4a	11235	libntfs/bitmap.c
f567b96382ea199ec5dc2656b0a88682e3955fe05d1d216d4cf0048f6fcba2b2	10836	libntfs/bootsect.c
f05b051a119a5f0d4e96a1df675f00ea20b65729efad2026fcc2348f80e8dd7f	15548	libntfs/cache.c
1075e12e0563cf042d02f75f1bbb5486342c48afb4ee760c89ef0c48f3f33b03	6285	libntfs/collate.c
b9f67d2db92d20eed173abb30a0a4fa9f7c8bafe27607186ea5b1b22bf1f54fe	7746	libntfs/compat.c
e98ea35e9cfce697eadfa3fbda41709791c5f34152c53f6ca57f111110d351c8	55265	libntfs/compress.c
a2ce83633ef66ec94588008256a77bb0c6ea830599656bd667db8d16ad213480	2208	libntfs/debug.c
08f28f094d2731ea2fcb8ef218bbdd9b9c34361aa16f8d4f56afe224e54240cb	25300	libntfs/device.c
e2e83f58b557bd88702d5280e186499fd952bb9272e1ad8266c3fe3b23d0848f	77332	libntfs/dir.c
f1b5f6ce6c0714f19ca0d4f548fdcfa61a39d2f25a3d464daaab609e2f692782	11156	libntfs/ea.c
5125c06e7f76b0c3478f77a6d64333ba8ade7c2c385ec785a6ddadf17528892d	11072	libntfs/efs.c
22ad9e8f34d78f4f5bf6c681566f829f870a504a14497c7edf6ea3085e004eca	28600	libntfs/fsck.c
3465cae97754db0fda02c45a263d955e67a1d6598e02a65bcf20104f548ea332	61054	libntfs/index.c
7d7cc6fa9c69cb240d9727627ecb5bd12c0ef81ffd7d991676301286e98ae460	45868	libntfs/inode.c
b2c9e135429a115f7a5598a15d815eaa43579e481b7784e36f2018e4a3cadf5e	21278	libntfs/lcnalloc.c
730cefa72a7461a3a592cd0ed9212278d21545a9e0ababf737ff3ed0e94ac690	5954	libntfs/lib_utils.c
6b5acab4042589471da003e601e33e081feacc81a06c1cb519f590bad7444633	23083	libntfs/logfile.c
00aa7ed9fd13115697a6b8d313b8e6ce622eb980b9ae0d12cb9dc010f2e14cfb	15203	libntfs/logging.c
1ff82773b5eb8967de6744e6081c48187e965b6413750ba7cecc6e70bdb2232d	69104	libntfs/mft.c
880c2bca51f65a5716d239a649b4d9ca74e3747be6d27c9484874214949fdf6a	1771	libntfs/misc.c
701f1e7b478d5d9ce48cb93d1d9e256070101601de395ca055d12131c917df43	8224	libntfs/mst.c
1abdc28e66c4623bbfc094c1ba9149034cf031a0228ba95b6debd1eca57511e4	16632	libntfs/object_id.c
e024ab5391cf50127ad07c1b9310aa5e9ee57c19ddbadb94df512601bb1fcad7	17149	libntfs/problem.c
8f4be6a987427170d866ebaee48feed08c392d7a8dfb3a66639f791c650f7c85	2363	libntfs/realpath.c
4a9ccc2731f150aa4f0c696dcc41b91c242f1e3bd3f8f92b267a2536a0bb681f	18839	libntfs/reparse.c
dcb5d2acacd795090014b89bcac10da9e93b3ba26bbef02c2736b1ffff676ddd	73031	libntfs/runlist.c
fa73e2de560851b871a51c282a125247e6e681e471221897de170c5859ea2d74	14187	libntfs/security.c
1f40ffcf68a0decb95af39d0f3b0663e7378e6bdd8a803afdd56f119c051e625	47818	libntfs/unistr.c
f58f2e5d603653d69e88bf44675d87d03abc1c376052ed04a886c8b3e89bd1dc	9244	libntfs/unix_io.c
68b936bfec4102a534685c6d91effa69a411b4eddab76f6f33e7d124d66407b4	87033	libntfs/volume.c
20b3ff835c4729ff557f5ff7579f5dd0a31ad27ddc2315b99eb943b04913e8aa	56089	libntfs/win32_io.c
a22ee0c56b6adffbeebda10fb2b2b876e230a0b754cd05004ea6905d7963a81c	9941	libntfs/xattrs.c
76663adc0e6ca4e133f23a5bcd85a6f5fbdb55f45420bb58a9d21fd6d7c8b7e3	559	manpages/Makefile.am
aec2634fcbdd8b174cbd6674376f9d5325e1faa821e80f2ea9fe0e63b21163de	7300	manpages/mkntfs.8.in
0efa76126b4d224cedc58fe23bfb3d1f01514e8f49c0d45a592074f6be6b256e	3471	manpages/ntfscat.8.in
5eb4345b9b99f3ed352baba8b38b08db1ac5acb8a98152ba4f913b61a20c19a7	4935	manpages/ntfsck.8.in
a2c67951c53f330be5c2d97715009631805005d0cbe4dc8a918238a4dd9581fc	12868	manpages/ntfsclone.8.in
4d944249126eb8432a8b7f9ee0908eb463ba987e135427ef970d829f733d2adb	2867	manpages/ntfscluster.8.in
cf79a4d9f297b1a8ccf2b6213c186529527410b4b78eecf34e78ad7f47b940fd	2065	manpages/ntfscmp.8.in
c8d37687382dbd47816839b0c84cffaa66b930502b6d871dc55248243dcc90a6	3980	manpages/ntfscp.8.in
622d833816226ad0e39f273f7a7fdf4589d30ef4b6edfd6b2a5b3a58f4c57b3b	1981	manpages/ntfsinfo.8.in
6ae54146be7189a4417f131cd0431e00d377393c5bb4941e0f5a18ce9fe1c856	3246	manpages/ntfslabel.8.in
b9cdb5eaeca51ec051538e5d758e6019a0da1de389352025b5e0c30df2de9d74	3265	manpages/ntfsls.8.in
01de1e474b2d1de92f96084fad8296cc7b5ffdc2bd5cccc48750b05dd4bf1824	1729	manpages/ntfsprogs-plus.8.in
8f04d524720d91e693bf1542e10d7030d087fe7e080b642e45a16df3008fda99	11834	manpages/ntfsresize.8.in
84abf23672da877654eaabbf2ce1fba24f873f340f32ea6f0b7c3e7c2c1c7563	9339	manpages/ntfsundelete.8.in
23a480f7c56cb4113bbd30974132d838d11cb74c1ee612c09c26da4172d3d8f4	4102	manpages/ntfswipe.8.in
0406314233558db33fda68afa8b4f5756c43ff441a8035805e64a14233685d1c	3413	src/Makefile.am
27d5fa53b6e63abffa6226f9c46bae867a64919c42c97e216e4f847f13ff9f6b	15467	src/attrdef.c
3c598bf4b0f7b5bb2bdbfea84937ba2beb5e48a0a612a58b02336fe06f6c8374	137	src/attrdef.h
c28aed566afff3d58b32630ee038fc3e9d575b758453d9e270edd0fe14730acb	3471	src/cluster.c
f4888dd9fd6c29b2eae6f80e69bc8aa2d211abf595ec03ce19c2c0ec3ac20c4a	1301	src/cluster.h
935027c1f44bbfc1310220523fa673b250669a1f8b447664f4a44d20a63da2cf	5522	src/list.h
19acd851540d19d6db51e72fd9184b4464792756b95107db1d3bf957cc88b869	163232	src/mkntfs.c
360d76af2fede6988defc3c182094929e5ca18d0512d8d51e24f63c9b9be2e18	11264	src/ntfscat.c
d9445019245f2eb07ef83e3d2f5cd276dd7222ad3d2de94bf153491f65a206df	1558	src/ntfscat.h
80f997d2ce187efc0b58332c3dac6b4b77eadd5b6981debfd0f7610ff138db9a	347400	src/ntfsck.c
92c9e448e07aa3816ca9ee02a23f059a933ec497ff38d0f0b4cd73e43485caec	71747	src/ntfsclone.c
9af48e505729f353ae964791442469cbbd06dd65e781ae78fcdabf6c919a44f5	14759	src/ntfscluster.c
24a141cdfd4cc289cd60e1d7f1f81448d84a89a780b9ffd5f736350a4c05f929	1790	src/ntfscluster.h
a7e16e06d97bc696c3ea372bc07bac6887894afb331188e3c352297f24464442	21213	src/ntfscmp.c
15e3052a9f5c1cb80b19c0da344f2e71d2e398d31048bc3683d99340cbdcfe1c	28931	src/ntfscp.c
66a2d54de621eec580972462610ca3ceada260c3e62363b7c660177d2084490a	72758	src/ntfsinfo.c
3172f0a5010bdff2240ecdb4844a38887781a9f48577f863b026beb0871e7691	11881	src/ntfslabel.c
55995ea6df4114dd0c6bbb2bee0393044b30f01d190a323634bdd85d0d49ed2f	17044	src/ntfsls.c
a4b4f9a804786530a0306c462e45386648834c15c16775a4e1f518e4f70710ec	20507	src/ntfsmove.c
eb6276808d2e334c41e1c7c424c766628772ca9541546a7bf52ccacd0e3fa9ae	1617	src/ntfsmove.h
fd6232c9bec45e731fe559c1b37f170575cea6fa65b47df87f5375726ae46fd4	124510	src/ntfsresize.c
90c7676ab5a8d921b0de4bedb2d53837cf3d5f80836d0c4c0a6339bbdd8f9088	64530	src/ntfsundelete.c
4d6a04caf4f19051b79111ea84f7ac1ea43a49670d81a85d70c73aadbb4aed56	3980	src/ntfsundelete.h
038eac0ed8b31266072ba68c408f6b684c19ad65ec7eed51ac956aec92a2205c	56262	src/ntfswipe.c
60a7911a2da57f9868b089ca4a63cff5dab5c77776ec16091d791754f1909a6f	1789	src/ntfswipe.h
7490dbf7b979526a7a93541e58502f5b55845eec111cf9c09059e4781e5b10b6	21365	src/sd.c
fd0e67a7a4c76601ff4dcbb3dea5f4c4c30f30d1c6fb7308b47d4490c6d07c84	245	src/sd.h
0f16fd3c74671f371c66f1bc7d84a68bb364742ade72f11360ba4d4b7692ddd9	28280	src/utils.c
83a8e76fde2974dd26e8e3a1cf6bdc8e892f9ec6fef9e44b956c4ac2c32943d8	4721	src/utils.h
4fc65a9bcde332027b4a20b73ff16716ce089c4853342e1ed160ea560d532ddf	1053	tests/test_all_images.sh
